0,1,2,3,4
wán,丶,6,5,"['pellet', 'pill', 'small round object']"
jí,又,4,5,"['extend', 'reach', 'come up to', 'and', 'up to', 'in time for']"
guǎng,广,4,5,"['wide', 'numerous', 'extensive', 'broad', 'to spread', 'Kangxi radical number 53']"
wáng,亠,6,5,"['death', 'destroyed', 'lose', 'perish']"
mén,门,2,5,"['opening', 'door', 'gate', 'doorway', 'gateway', 'valve', 'switch', 'way to do something', 'knack', 'family', 'house', '(religious) sect', 'school (of thought)', 'class', 'category', 'phylum or division (taxonomy)', 'measure word for large guns', 'lessons', 'subjects', 'branches of technology', 'Kangxi radical 169']"
