#,Hanzi,Unicode,Mandarin reading(s),level
1927,赃,U+8D43,zāng,1
1928,钱,U+94B1,qián,1
1929,钳,U+94B3,qián,1
1930,钻,U+94BB,"zuān, zuàn",1
1931,钾,U+94BE,jiǎ,1
1932,铁,U+94C1,tiě,1
1933,铃,U+94C3,líng,1
1934,铅,U+94C5,"qiān, yán",1
1935,缺,U+7F3A,quē,1
1936,氧,U+6C27,yǎng,1
1937,氨,U+6C28,ān,1
1938,特,U+7279,tè,1
1939,牺,U+727A,xī,1
1940,造,U+9020,zào,1
1941,乘,U+4E58,chéng,1
1942,敌,U+654C,dí,1
1943,秤,U+79E4,chèng,1
1944,租,U+79DF,zū,1
1945,积,U+79EF,jī,1
1946,秧,U+79E7,yāng,1
1947,秩,U+79E9,zhì,1
1948,称,U+79F0,"chèn, chēng",1
1949,秘,U+79D8,"bì, mì",1
1950,透,U+900F,tòu,1
1951,笔,U+7B14,bǐ,1
1952,笑,U+7B11,xiào,1
1953,笋,U+7B0B,sǔn,1
1954,债,U+503A,zhài,1
1955,借,U+501F,jiè,1
1956,值,U+503C,zhí,1
1957,倚,U+501A,yǐ,1
1958,俺,U+4FFA,ǎn,1
1959,倾,U+503E,qīng,1
1960,倒,U+5012,"dǎo, dào",1
1961,倘,U+5018,tǎng,1
1962,俱,U+4FF1,"jū, jù",1
1963,倡,U+5021,chàng,1
1964,候,U+5019,hòu,1
1965,赁,U+8D41,lìn,1
1966,俯,U+4FEF,fǔ,1
1967,倍,U+500D,bèi,1
1968,倦,U+5026,juàn,1
1969,健,U+5065,jiàn,1
1970,臭,U+81ED,"chòu, xiù",1
1971,射,U+5C04,shè,1
1972,躬,U+8EAC,gōng,1
1973,息,U+606F,xī,1
1974,倔,U+5014,"jué, juè",1
1975,徒,U+5F92,tú,1
1976,徐,U+5F90,xú,1
1977,殷,U+6BB7,"yān, yīn",1
1978,舰,U+8230,jiàn,1
1979,舱,U+8231,cāng,1
1980,般,U+822C,bān,1
1981,航,U+822A,háng,1
1982,途,U+9014,tú,1
1983,拿,U+62FF,ná,1
1984,耸,U+8038,sǒng,1
1985,爹,U+7239,diē,1
1986,舀,U+8200,yǎo,1
1987,爱,U+7231,ài,1
1988,豺,U+8C7A,chái,1
1989,豹,U+8C79,bào,1
1990,颁,U+9881,bān,1
1991,颂,U+9882,sòng,1
1992,翁,U+7FC1,wēng,1
1993,胰,U+80F0,yí,1
1994,脆,U+8106,cuì,1
1995,脂,U+8102,zhī,1
1996,胸,U+80F8,xiōng,1
1997,胳,U+80F3,"gē, gé",1
1998,脏,U+810F,"zāng, zàng",1
1999,脐,U+8110,qí,1
2000,胶,U+80F6,jiāo,1
2001,脑,U+8111,nǎo,1
2002,脓,U+8113,nóng,1
2003,逛,U+901B,guàng,1
2004,狸,U+72F8,lí,1
2005,狼,U+72FC,láng,1
2006,卿,U+537F,qīng,1
2007,逢,U+9022,féng,1
2008,鸵,U+9E35,tuó,1
2009,留,U+7559,liú,1
2010,鸳,U+9E33,yuān,1
2011,皱,U+76B1,zhòu,1
2012,饿,U+997F,è,1
2013,馁,U+9981,něi,1
2014,凌,U+51CC,líng,1
2015,凄,U+51C4,qī,1
2016,恋,U+604B,liàn,1
2017,桨,U+6868,jiǎng,1
2018,浆,U+6D46,"jiāng, jiàng",1
2019,衰,U+8870,shuāi,1
2020,衷,U+8877,zhōng,1
2021,高,U+9AD8,gāo,1
2022,郭,U+90ED,guō,1
2023,席,U+5E2D,xí,1
2024,准,U+51C6,zhǔn,1
2025,座,U+5EA7,zuò,1
2026,症,U+75C7,"zhēng, zhèng",1
2027,病,U+75C5,bìng,1
2028,疾,U+75BE,jí,1
2029,斋,U+658B,zhāi,1
2030,疹,U+75B9,zhěn,1
2031,疼,U+75BC,téng,1
2032,疲,U+75B2,pí,1
2033,脊,U+810A,jǐ,1
2034,效,U+6548,xiào,1
2035,离,U+79BB,lí,1
2036,紊,U+7D0A,wěn,1
2037,唐,U+5510,táng,1
2038,瓷,U+74F7,cí,1
2039,资,U+8D44,zī,1
2040,凉,U+51C9,"liáng, liàng",1
2041,站,U+7AD9,zhàn,1
2042,剖,U+5256,pōu,1
2043,竞,U+7ADE,jìng,1
2044,部,U+90E8,bù,1
2045,旁,U+65C1,páng,1
2046,旅,U+65C5,lǚ,1
2047,畜,U+755C,"chù, xù",1
2048,阅,U+9605,yuè,1
2049,羞,U+7F9E,xiū,1
2050,羔,U+7F94,gāo,1
2051,瓶,U+74F6,píng,1
2052,拳,U+62F3,quán,1
2053,粉,U+7C89,fěn,1
2054,料,U+6599,liào,1
2055,益,U+76CA,yì,1
2056,兼,U+517C,jiān,1
2057,烤,U+70E4,kǎo,1
2058,烘,U+70D8,hōng,1
2059,烦,U+70E6,fán,1
2060,烧,U+70E7,shāo,1
2061,烛,U+70DB,zhú,1
2062,烟,U+70DF,yān,1
2063,烙,U+70D9,"lào, luò",1
2064,递,U+9012,dì,1
2065,涛,U+6D9B,tāo,1
2066,浙,U+6D59,zhè,1
2067,涝,U+6D9D,lào,1
2068,浦,U+6D66,pǔ,1
2069,酒,U+9152,jiǔ,1
2070,涉,U+6D89,shè,1
2071,消,U+6D88,xiāo,1
2072,涡,U+6DA1,"guō, wō",1
2073,浩,U+6D69,hào,1
2074,海,U+6D77,hǎi,1
2075,涂,U+6D82,tú,1
2076,浴,U+6D74,yù,1
2077,浮,U+6D6E,fú,1
2078,涣,U+6DA3,huàn,1
2079,涤,U+6DA4,dí,1
2080,流,U+6D41,liú,1
2081,润,U+6DA6,rùn,1
2082,涧,U+6DA7,jiàn,1
2083,涕,U+6D95,tì,1
2084,浪,U+6D6A,làng,1
2085,浸,U+6D78,jìn,1
2086,涨,U+6DA8,"zhǎng, zhàng",1
2087,烫,U+70EB,tàng,1
2088,涩,U+6DA9,sè,1
2089,涌,U+6D8C,"chōng, yǒng",1
2090,悖,U+6096,bèi,1
2091,悟,U+609F,wù,1
2092,悄,U+6084,"qiāo, qiǎo",1
2093,悍,U+608D,hàn,1
2094,悔,U+6094,huǐ,1
2095,悯,U+60AF,mǐn,1
2096,悦,U+60A6,yuè,1
2097,害,U+5BB3,hài,1
2098,宽,U+5BBD,kuān,1
2099,家,U+5BB6,"jiā, jia",1
2100,宵,U+5BB5,xiāo,1
2101,宴,U+5BB4,yàn,1
2102,宾,U+5BBE,bīn,1
2103,窍,U+7A8D,qiào,1
2104,窄,U+7A84,zhǎi,1
2105,容,U+5BB9,róng,1
2106,宰,U+5BB0,zǎi,1
2107,案,U+6848,àn,1
2108,请,U+8BF7,qǐng,1
2109,朗,U+6717,lǎng,1
2110,诸,U+8BF8,zhū,1
2111,诺,U+8BFA,nuò,1
2112,读,U+8BFB,"dòu, dú",1
2113,扇,U+6247,"shān, shàn",1
2114,诽,U+8BFD,fěi,1
2115,袜,U+889C,wà,1
2116,袖,U+8896,xiù,1
2117,袍,U+888D,páo,1
2118,被,U+88AB,bèi,1
2119,祥,U+7965,xiáng,1
2120,课,U+8BFE,kè,1
2121,冥,U+51A5,míng,1
2122,谁,U+8C01,"shéi, shuí",1
2123,调,U+8C03,"diào, tiáo",1
2124,冤,U+51A4,yuān,1
2125,谅,U+8C05,liàng,1
2126,谆,U+8C06,zhūn,1
2127,谈,U+8C08,tán,1
2128,谊,U+8C0A,yì,1
2129,剥,U+5265,"bāo, bō",1
2130,恳,U+6073,kěn,1
2131,展,U+5C55,zhǎn,1
2132,剧,U+5267,jù,1
2133,屑,U+5C51,xiè,1
2134,弱,U+5F31,ruò,1
2135,陵,U+9675,líng,1
2136,祟,U+795F,suì,1
2137,陶,U+9676,táo,1
2138,陷,U+9677,xiàn,1
2139,陪,U+966A,péi,1
2140,娱,U+5A31,yú,1
2141,娟,U+5A1F,juān,1
2142,恕,U+6055,shù,1
2143,娥,U+5A25,é,1
2144,娘,U+5A18,niáng,1
2145,通,U+901A,"tōng, tòng",1
2146,能,U+80FD,néng,1
2147,难,U+96BE,"nán, nàn",1
2148,预,U+9884,yù,1
2149,桑,U+6851,sāng,1
2150,绢,U+7EE2,juàn,1
2151,绣,U+7EE3,xiù,1
2152,验,U+9A8C,yàn,1
2153,继,U+7EE7,jì,1
2154,骏,U+9A8F,jùn,1
2155,球,U+7403,qiú,1
2156,琐,U+7410,suǒ,1
2157,理,U+7406,lǐ,1
2158,琉,U+7409,liú,1
2159,琅,U+7405,láng,1
2160,捧,U+6367,pěng,1
2161,堵,U+5835,dǔ,1
2162,措,U+63AA,cuò,1
2163,描,U+63CF,miáo,1
2164,域,U+57DF,yù,1
2165,捺,U+637A,nà,1
2166,掩,U+63A9,yǎn,1
2167,捷,U+6377,jié,1
2168,排,U+6392,"pái, pǎi",1
2169,焉,U+7109,yān,1
2170,掉,U+6389,diào,1
2171,捶,U+6376,chuí,1
2172,赦,U+8D66,shè,1
2173,堆,U+5806,duī,1
2174,推,U+63A8,tuī,1
2175,埠,U+57E0,bù,1
2176,掀,U+6380,xiān,1
2177,授,U+6388,shòu,1
2178,捻,U+637B,niǎn,1
2179,教,U+6559,"jiāo, jiào",1
2180,掏,U+638F,tāo,1
2181,掐,U+6390,qiā,1
2182,掠,U+63A0,lüè,1
2183,掂,U+6382,diān,1
2184,培,U+57F9,péi,1
2185,接,U+63A5,jiē,1
2186,掷,U+63B7,zhì,1
2187,控,U+63A7,kòng,1
2188,探,U+63A2,tàn,1
2189,据,U+636E,"jū, jù",1
2190,掘,U+6398,jué,1
2191,掺,U+63BA,chān,1
2192,职,U+804C,zhí,1
2193,基,U+57FA,jī,1
2194,聆,U+8046,líng,1
2195,勘,U+52D8,kān,1
2196,聊,U+804A,liáo,1
2197,娶,U+5A36,qǔ,1
2198,著,U+8457,"zhù, zhuó",1
2199,菱,U+83F1,líng,1
2200,勒,U+52D2,"lè, lēi",1
2201,黄,U+9EC4,huáng,1
2202,菲,U+83F2,"fēi, fěi",1
2203,萌,U+840C,méng,1
2204,萝,U+841D,luó,1
2205,菌,U+83CC,"jūn, jùn",1
2206,萎,U+840E,wěi,1
2207,菜,U+83DC,cài,1
2208,萄,U+8404,táo,1
2209,菊,U+83CA,jú,1
2210,菩,U+83E9,pú,1
2211,萍,U+840D,píng,1
2212,菠,U+83E0,bō,1
2213,萤,U+8424,yíng,1
2214,营,U+8425,yíng,1
2215,乾,U+4E7E,qián,1
2216,萧,U+8427,xiāo,1
2217,萨,U+8428,sà,1
2218,菇,U+83C7,gū,1
2219,械,U+68B0,xiè,1
2220,彬,U+5F6C,bīn,1
2221,梦,U+68A6,mèng,1
2222,婪,U+5A6A,lán,1
2223,梗,U+6897,gěng,1
2224,梧,U+68A7,wú,1
2225,梢,U+68A2,shāo,1
2226,梅,U+6885,méi,1
2227,检,U+68C0,jiǎn,1
2228,梳,U+68B3,shū,1
2229,梯,U+68AF,tī,1
2230,桶,U+6876,tǒng,1
2231,梭,U+68AD,suō,1
2232,救,U+6551,jiù,1
2233,曹,U+66F9,cáo,1
2234,副,U+526F,fù,1
2235,票,U+7968,piào,1
2236,酝,U+915D,yùn,1
2237,酗,U+9157,xù,1
2238,厢,U+53A2,xiāng,1
2239,戚,U+621A,qī,1
2240,硅,U+7845,guī,1
2241,硕,U+7855,shuò,1
2242,奢,U+5962,shē,1
2243,盔,U+76D4,kuī,1
2244,爽,U+723D,shuǎng,1
2245,聋,U+804B,lóng,1
2246,袭,U+88AD,xí,1
2247,盛,U+76DB,"chéng, shèng",1
2248,匾,U+533E,biǎn,1
2249,雪,U+96EA,xuě,1
2250,辅,U+8F85,fǔ,1
2251,辆,U+8F86,liàng,1
2252,颅,U+9885,lú,1
2253,虚,U+865A,xū,1
2254,彪,U+5F6A,biāo,1
2255,雀,U+96C0,"qiāo, qiǎo, què",1
2256,堂,U+5802,táng,1
2257,常,U+5E38,cháng,1
2258,眶,U+7736,kuàng,1
2259,匙,U+5319,"chí, shi",1
2260,晨,U+6668,chén,1
2261,睁,U+7741,zhēng,1
2262,眯,U+772F,"mī, mí",1
2263,眼,U+773C,yǎn,1
2264,悬,U+60AC,xuán,1
2265,野,U+91CE,yě,1
2266,啪,U+556A,pā,1
2267,啦,U+5566,"lā, la",1
2268,曼,U+66FC,màn,1
2269,晦,U+6666,huì,1
2270,晚,U+665A,wǎn,1
2271,啄,U+5544,zhuó,1
2272,啡,U+5561,fēi,1
2273,距,U+8DDD,jù,1
2274,趾,U+8DBE,zhǐ,1
2275,啃,U+5543,kěn,1
2276,跃,U+8DC3,yuè,1
2277,略,U+7565,lüè,1
2278,蚯,U+86AF,qiū,1
2279,蛀,U+86C0,zhù,1
2280,蛇,U+86C7,shé,1
2281,唬,U+552C,hǔ,1
2282,累,U+7D2F,"léi, lěi, lèi",1
2283,鄂,U+9102,è,1
2284,唱,U+5531,chàng,1
2285,患,U+60A3,huàn,1
2286,啰,U+5570,"luō, luó, luo",1
2287,唾,U+553E,tuò,1
2288,唯,U+552F,wéi,1
2289,啤,U+5564,pí,1
2290,啥,U+5565,shá,1
2291,啸,U+5578,xiào,1
2292,崖,U+5D16,yá,1
2293,崎,U+5D0E,qí,1
2294,崭,U+5D2D,zhǎn,1
2295,逻,U+903B,luó,1
2296,崔,U+5D14,cuī,1
2297,帷,U+5E37,wéi,1
2298,崩,U+5D29,bēng,1
2299,崇,U+5D07,chóng,1
2300,崛,U+5D1B,jué,1
2301,婴,U+5A74,yīng,1
2302,圈,U+5708,"juān, juàn, quān",1
2303,铐,U+94D0,kào,1
2304,铛,U+94DB,"chēng, dāng",1
2305,铝,U+94DD,lǚ,1
2306,铜,U+94DC,tóng,1
2307,铭,U+94ED,míng,1
2308,铲,U+94F2,chǎn,1
2309,银,U+94F6,yín,1
2310,矫,U+77EB,"jiáo, jiǎo",1
2311,甜,U+751C,tián,1
2312,秸,U+79F8,jiē,1
2313,梨,U+68A8,lí,1
2314,犁,U+7281,lí,1
2315,秽,U+79FD,huì,1
2316,移,U+79FB,yí,1
2317,笨,U+7B28,bèn,1
2318,笼,U+7B3C,"lóng, lǒng",1
2319,笛,U+7B1B,dí,1
2320,笙,U+7B19,shēng,1
2321,符,U+7B26,fú,1
2322,第,U+7B2C,dì,1
2323,敏,U+654F,mǐn,1
2324,做,U+505A,zuò,1
2325,袋,U+888B,dài,1
2326,悠,U+60A0,yōu,1
2327,偿,U+507F,cháng,1
2328,偶,U+5076,ǒu,1
2329,偎,U+504E,wēi,1
2330,偷,U+5077,tōu,1
2331,您,U+60A8,nín,1
2332,售,U+552E,shòu,1
2333,停,U+505C,tíng,1
2334,偏,U+504F,piān,1
2335,躯,U+8EAF,qū,1
2336,兜,U+515C,dōu,1
2337,假,U+5047,"jiǎ, jià",1
2338,衅,U+8845,xìn,1
2339,徘,U+5F98,pái,1
2340,徙,U+5F99,xǐ,1
2341,得,U+5F97,"dé, de, děi",1
2342,衔,U+8854,xián,1
2343,盘,U+76D8,pán,1
2344,舶,U+8236,bó,1
2345,船,U+8239,chuán,1
2346,舵,U+8235,duò,1
2347,斜,U+659C,xié,1
2348,盒,U+76D2,hé,1
2349,鸽,U+9E3D,gē,1
2350,敛,U+655B,liǎn,1
2351,悉,U+6089,xī,1
2352,欲,U+6B32,yù,1
2353,彩,U+5F69,cǎi,1
2354,领,U+9886,lǐng,1
2355,脚,U+811A,jiǎo,1
2356,脖,U+8116,bó,1
2357,脯,U+812F,"fǔ, pú",1
2358,豚,U+8C5A,tún,1
2359,脸,U+8138,liǎn,1
2360,脱,U+8131,tuō,1
2361,象,U+8C61,xiàng,1
2362,够,U+591F,gòu,1
2363,逸,U+9038,yì,1
2364,猜,U+731C,cāi,1
2365,猪,U+732A,zhū,1
2366,猎,U+730E,liè,1
2367,猫,U+732B,māo,1
2368,凰,U+51F0,huáng,1
2369,猖,U+7316,chāng,1
2370,猛,U+731B,měng,1
2371,祭,U+796D,"jì, zhài",1
2372,馅,U+9985,xiàn,1
2373,馆,U+9986,guǎn,1
2374,凑,U+51D1,còu,1
2375,减,U+51CF,jiǎn,1
2376,毫,U+6BEB,háo,1
2377,烹,U+70F9,pēng,1
2378,庶,U+5EB6,shù,1
2379,麻,U+9EBB,má,1
2380,庵,U+5EB5,ān,1
2381,痊,U+75CA,quán,1
2382,痒,U+75D2,yǎng,1
2383,痕,U+75D5,hén,1
2384,廊,U+5ECA,láng,1
2385,康,U+5EB7,kāng,1
2386,庸,U+5EB8,yōng,1
2387,鹿,U+9E7F,lù,1
2388,盗,U+76D7,dào,1
2389,章,U+7AE0,zhāng,1
2390,竟,U+7ADF,jìng,1
2391,商,U+5546,shāng,1
2392,族,U+65CF,zú,1
2393,旋,U+65CB,"xuán, xuàn",1
2394,望,U+671B,wàng,1
2395,率,U+7387,"lǜ, shuài",1
2396,阎,U+960E,yán,1
2397,阐,U+9610,chǎn,1
2398,着,U+7740,"zhāo, zháo, zhe, zhuó",1
2399,羚,U+7F9A,líng,1
2400,盖,U+76D6,"gài, gě",1
2401,眷,U+7737,juàn,1
2402,粘,U+7C98,"nián, zhān",1
2403,粗,U+7C97,cū,1
2404,粒,U+7C92,lì,1
2405,断,U+65AD,duàn,1
2406,剪,U+526A,jiǎn,1
2407,兽,U+517D,shòu,1
2408,焊,U+710A,hàn,1
2409,焕,U+7115,huàn,1
2410,清,U+6E05,qīng,1
2411,添,U+6DFB,tiān,1
2412,鸿,U+9E3F,hóng,1
2413,淋,U+6DCB,"lín, lìn",1
2414,涯,U+6DAF,yá,1
2415,淹,U+6DF9,yān,1
2416,渠,U+6E20,qú,1
2417,渐,U+6E10,jiàn,1
2418,淑,U+6DD1,shū,1
2419,淌,U+6DCC,tǎng,1
2420,混,U+6DF7,hùn,1
2421,淮,U+6DEE,huái,1
2422,淆,U+6DC6,xiáo,1
2423,渊,U+6E0A,yuān,1
2424,淫,U+6DEB,yín,1
2425,渔,U+6E14,yú,1
2426,淘,U+6DD8,táo,1
2427,淳,U+6DF3,chún,1
2428,液,U+6DB2,yè,1
2429,淤,U+6DE4,yū,1
2430,淡,U+6DE1,dàn,1
2431,淀,U+6DC0,diàn,1
2432,深,U+6DF1,shēn,1
2433,涮,U+6DAE,shuàn,1
2434,涵,U+6DB5,hán,1
2435,婆,U+5A46,pó,1
2436,梁,U+6881,liáng,1
2437,渗,U+6E17,shèn,1
2438,情,U+60C5,qíng,1
2439,惜,U+60DC,xī,1
2440,惭,U+60ED,cán,1
2441,悼,U+60BC,dào,1
2442,惧,U+60E7,jù,1
2443,惕,U+60D5,tì,1
2444,惟,U+60DF,wéi,1
2445,惊,U+60CA,jīng,1
2446,惦,U+60E6,diàn,1
2447,悴,U+60B4,cuì,1
2448,惋,U+60CB,wǎn,1
2449,惨,U+60E8,cǎn,1
2450,惯,U+60EF,guàn,1
2451,寇,U+5BC7,kòu,1
2452,寅,U+5BC5,yín,1
2453,寄,U+5BC4,jì,1
2454,寂,U+5BC2,jì,1
2455,宿,U+5BBF,"sù, xiǔ, xiù",1
2456,窒,U+7A92,zhì,1
2457,窑,U+7A91,yáo,1
2458,密,U+5BC6,mì,1
2459,谋,U+8C0B,móu,1
2460,谍,U+8C0D,dié,1
2461,谎,U+8C0E,huǎng,1
2462,谐,U+8C10,xié,1
2463,袱,U+88B1,fú,1
2464,祷,U+7977,dǎo,1
2465,祸,U+7978,huò,1
2466,谓,U+8C13,wèi,1
2467,谚,U+8C1A,yàn,1
2468,谜,U+8C1C,mí,1
2469,逮,U+902E,"dǎi, dài",1
2470,敢,U+6562,gǎn,1
2471,尉,U+5C09,"wèi, yù",1
2472,屠,U+5C60,tú,1
2473,弹,U+5F39,"dàn, tán",1
2474,隋,U+968B,suí,1
2475,堕,U+5815,duò,1
2476,随,U+968F,suí,1
2477,蛋,U+86CB,dàn,1
2478,隅,U+9685,yú,1
2479,隆,U+9686,lóng,1
2480,隐,U+9690,yǐn,1
2481,婚,U+5A5A,hūn,1
2482,婶,U+5A76,shěn,1
2483,婉,U+5A49,wǎn,1
2484,颇,U+9887,pō,1
2485,颈,U+9888,"gěng, jǐng",1
2486,绩,U+7EE9,jì,1
2487,绪,U+7EEA,xù,1
2488,续,U+7EED,xù,1
2489,骑,U+9A91,qí,1
2490,绰,U+7EF0,"chāo, chuò",1
2491,绳,U+7EF3,shéng,1
2492,维,U+7EF4,wéi,1
2493,绵,U+7EF5,mián,1
2494,绷,U+7EF7,"bēng, běng, bèng",1
2495,绸,U+7EF8,chóu,1
2496,综,U+7EFC,"zèng, zōng",1
2497,绽,U+7EFD,zhàn,1
2498,绿,U+7EFF,"lù, lǜ",1
2499,缀,U+7F00,zhuì,1
2500,巢,U+5DE2,cháo,1
2501,琴,U+7434,qín,1
2502,琳,U+7433,lín,1
2503,琢,U+7422,"zhuó, zuó",1
2504,琼,U+743C,qióng,1
2505,斑,U+6591,bān,1
2506,替,U+66FF,tì,1
2507,揍,U+63CD,zòu,1
2508,款,U+6B3E,kuǎn,1
2509,堪,U+582A,kān,1
2510,塔,U+5854,tǎ,1
2511,搭,U+642D,dā,1
2512,堰,U+5830,yàn,1
2513,揩,U+63E9,kāi,1
2514,越,U+8D8A,yuè,1
2515,趁,U+8D81,chèn,1
2516,趋,U+8D8B,qū,1
2517,超,U+8D85,chāo,1
2518,揽,U+63FD,lǎn,1
2519,堤,U+5824,dī,1
2520,提,U+63D0,"dī, tí",1
2521,博,U+535A,bó,1
2522,揭,U+63ED,jiē,1
2523,喜,U+559C,xǐ,1
2524,彭,U+5F6D,péng,1
2525,揣,U+63E3,"chuāi, chuǎi, chuài",1
2526,插,U+63D2,chā,1
2527,揪,U+63EA,jiū,1
2528,搜,U+641C,sōu,1
2529,煮,U+716E,zhǔ,1
2530,援,U+63F4,yuán,1
2531,搀,U+6400,chān,1
2532,裁,U+88C1,cái,1
2533,搁,U+6401,"gē, gé",1
2534,搓,U+6413,cuō,1
2535,搂,U+6402,"lōu, lǒu",1
2536,搅,U+6405,jiǎo,1
2537,壹,U+58F9,yī,1
2538,握,U+63E1,wò,1
2539,搔,U+6414,sāo,1
2540,揉,U+63C9,róu,1
2541,斯,U+65AF,sī,1
2542,期,U+671F,"jī, qī",1
2543,欺,U+6B3A,qī,1
2544,联,U+8054,lián,1
2545,葫,U+846B,hú,1
2546,散,U+6563,"sǎn, sàn",1
2547,惹,U+60F9,rě,1
2548,葬,U+846C,zàng,1
2549,募,U+52DF,mù,1
2550,葛,U+845B,"gé, gě",1
2551,董,U+8463,dǒng,1
2552,葡,U+8461,pú,1
2553,敬,U+656C,jìng,1
2554,葱,U+8471,cōng,1
2555,蒋,U+848B,jiǎng,1
2556,蒂,U+8482,dì,1
2557,落,U+843D,"là, lào, luò",1
2558,韩,U+97E9,hán,1
2559,朝,U+671D,"cháo, zhāo",1
2560,辜,U+8F9C,gū,1
2561,葵,U+8475,kuí,1
2562,棒,U+68D2,bàng,1
2563,棱,U+68F1,"lēng, léng, líng",1
2564,棋,U+68CB,qí,1
2565,椰,U+6930,yē,1
2566,植,U+690D,zhí,1
2567,森,U+68EE,sēn,1
2568,焚,U+711A,fén,1
2569,椅,U+6905,"yī, yǐ",1
2570,椒,U+6912,jiāo,1
2571,棵,U+68F5,kē,1
2572,棍,U+68CD,gùn,1
2573,椎,U+690E,zhuī,1
2574,棉,U+68C9,mián,1
2575,棚,U+68DA,péng,1
2576,棕,U+68D5,zōng,1
2577,棺,U+68FA,guān,1
2578,榔,U+6994,láng,1
2579,椭,U+692D,tuǒ,1
2580,惠,U+60E0,huì,1
2581,惑,U+60D1,huò,1
2582,逼,U+903C,bī,1
2583,粟,U+7C9F,sù,1
2584,棘,U+68D8,jí,1
2585,酣,U+9163,hān,1
2586,酥,U+9165,sū,1
2587,厨,U+53A8,chú,1
2588,厦,U+53A6,"shà, xià",1
2589,硬,U+786C,yìng,1
2590,硝,U+785D,xiāo,1
2591,确,U+786E,què,1
2592,硫,U+786B,liú,1
2593,雁,U+96C1,yàn,1
2594,殖,U+6B96,"shi, zhí",1
2595,裂,U+88C2,liè,1
2596,雄,U+96C4,xióng,1
2597,颊,U+988A,jiá,1
2598,雳,U+96F3,lì,1
2599,暂,U+6682,zàn,1
2600,雅,U+96C5,yǎ,1
2601,翘,U+7FD8,"qiáo, qiào",1
2602,辈,U+8F88,bèi,1
2603,悲,U+60B2,bēi,1
2604,紫,U+7D2B,zǐ,1
2605,凿,U+51FF,záo,1
2606,辉,U+8F89,huī,1
2607,敞,U+655E,chǎng,1
2608,棠,U+68E0,táng,1
2609,赏,U+8D4F,shǎng,1
2610,掌,U+638C,zhǎng,1
2611,晴,U+6674,qíng,1
2612,睐,U+7750,lài,1
2613,暑,U+6691,shǔ,1
2614,最,U+6700,zuì,1
2615,晰,U+6670,xī,1
2616,量,U+91CF,"liáng, liàng",1
2617,鼎,U+9F0E,dǐng,1
2618,喷,U+55B7,"pēn, pèn",1
2619,喳,U+55B3,"chā, zhā",1
2620,晶,U+6676,jīng,1
2621,喇,U+5587,lǎ,1
2622,遇,U+9047,yù,1
2623,喊,U+558A,hǎn,1
2624,遏,U+904F,è,1
2625,晾,U+667E,liàng,1
2626,景,U+666F,jǐng,1
2627,畴,U+7574,chóu,1
2628,践,U+8DF5,jiàn,1
2629,跋,U+8DCB,bá,1
2630,跌,U+8DCC,diē,1
2631,跑,U+8DD1,"páo, pǎo",1
2632,跛,U+8DDB,bǒ,1
2633,遗,U+9057,yí,1
2634,蛙,U+86D9,wā,1
2635,蛛,U+86DB,zhū,1
2636,蜓,U+8713,tíng,1
2637,蜒,U+8712,yán,1
2638,蛤,U+86E4,"gé, há",1
2639,喝,U+559D,"hē, hè",1
2640,鹃,U+9E43,juān,1
2641,喂,U+5582,wèi,1
2642,喘,U+5598,chuǎn,1
2643,喉,U+5589,hóu,1
2644,喻,U+55BB,yù,1
2645,啼,U+557C,tí,1
2646,喧,U+55A7,xuān,1
2647,嵌,U+5D4C,qiàn,1
2648,幅,U+5E45,fú,1
2649,帽,U+5E3D,mào,1
2650,赋,U+8D4B,fù,1
2651,赌,U+8D4C,dǔ,1
2652,赎,U+8D4E,shú,1
2653,赐,U+8D50,cì,1
2654,赔,U+8D54,péi,1
2655,黑,U+9ED1,hēi,1
2656,铸,U+94F8,zhù,1
2657,铺,U+94FA,"pū, pù",1
2658,链,U+94FE,liàn,1
2659,销,U+9500,xiāo,1
2660,锁,U+9501,suǒ,1
2661,锄,U+9504,chú,1
2662,锅,U+9505,guō,1
2663,锈,U+9508,xiù,1
2664,锋,U+950B,fēng,1
2665,锌,U+950C,xīn,1
2666,锐,U+9510,ruì,1
2667,甥,U+7525,shēng,1
2668,掰,U+63B0,bāi,1
2669,短,U+77ED,duǎn,1
2670,智,U+667A,zhì,1
2671,氮,U+6C2E,dàn,1
2672,毯,U+6BEF,tǎn,1
2673,氯,U+6C2F,lǜ,1
2674,鹅,U+9E45,é,1
2675,剩,U+5269,shèng,1
2676,稍,U+7A0D,"shāo, shào",1
2677,程,U+7A0B,chéng,1
2678,稀,U+7A00,xī,1
2679,税,U+7A0E,shuì,1
2680,筐,U+7B50,kuāng,1
2681,等,U+7B49,děng,1
2682,筑,U+7B51,zhù,1
2683,策,U+7B56,cè,1
2684,筛,U+7B5B,shāi,1
2685,筒,U+7B52,tǒng,1
2686,筏,U+7B4F,fá,1
2687,答,U+7B54,"dā, dá",1
2688,筋,U+7B4B,jīn,1
2689,筝,U+7B5D,zhēng,1
2690,傲,U+50B2,ào,1
2691,傅,U+5085,fù,1
2692,牌,U+724C,pái,1
2693,堡,U+5821,"bǎo, bǔ, pù",1
2694,集,U+96C6,jí,1
2695,焦,U+7126,jiāo,1
2696,傍,U+508D,bàng,1
2697,储,U+50A8,chǔ,1
2698,皓,U+7693,hào,1
2699,皖,U+7696,wǎn,1
2700,粤,U+7CA4,yuè,1
2701,奥,U+5965,ào,1
