#,Hanzi,Unicode,Mandarin reading(s),level
185,邓,U+9093,dèng,1
186,劝,U+529D,quàn,1
187,双,U+53CC,shuāng,1
188,书,U+4E66,shū,1
189,幻,U+5E7B,huàn,1
190,玉,U+7389,yù,1
191,刊,U+520A,kān,1
192,未,U+672A,wèi,1
193,末,U+672B,mò,1
194,示,U+793A,shì,1
195,击,U+51FB,jī,1
196,打,U+6253,"dá, dǎ",1
197,巧,U+5DE7,qiǎo,1
198,正,U+6B63,"zhēng, zhèng",1
199,扑,U+6251,pū,1
200,卉,U+5349,huì,1
201,扒,U+6252,"bā, pá",1
202,功,U+529F,gōng,1
203,扔,U+6254,rēng,1
204,去,U+53BB,qù,1
205,甘,U+7518,gān,1
206,世,U+4E16,shì,1
207,艾,U+827E,"ài, yì",1
208,古,U+53E4,gǔ,1
209,节,U+8282,"jiē, jié",1
210,本,U+672C,běn,1
211,术,U+672F,"shù, zhú",1
212,可,U+53EF,"kě, kè",1
213,丙,U+4E19,bǐng,1
214,左,U+5DE6,zuǒ,1
215,厉,U+5389,lì,1
216,石,U+77F3,"dàn, shí",1
217,右,U+53F3,yòu,1
218,布,U+5E03,bù,1
219,夯,U+592F,hāng,1
220,戊,U+620A,wù,1
221,龙,U+9F99,lóng,1
222,平,U+5E73,píng,1
223,灭,U+706D,miè,1
224,轧,U+8F67,"yà, zhá",1
225,东,U+4E1C,dōng,1
226,卡,U+5361,"kǎ, qiǎ",1
227,北,U+5317,běi,1
228,占,U+5360,"zhān, zhàn",1
229,凸,U+51F8,tū,1
230,卢,U+5362,lú,1
231,业,U+4E1A,yè,1
232,旧,U+65E7,jiù,1
233,帅,U+5E05,shuài,1
234,归,U+5F52,guī,1
235,旦,U+65E6,dàn,1
236,目,U+76EE,mù,1
237,且,U+4E14,qiě,1
238,叶,U+53F6,"xié, yè",1
239,甲,U+7532,jiǎ,1
240,申,U+7533,shēn,1
241,叮,U+53EE,dīng,1
242,电,U+7535,diàn,1
243,号,U+53F7,"háo, hào",1
244,田,U+7530,tián,1
245,由,U+7531,yóu,1
246,只,U+53EA,"zhī, zhǐ",1
247,叭,U+53ED,bā,1
248,史,U+53F2,shǐ,1
249,央,U+592E,yāng,1
250,兄,U+5144,xiōng,1
251,叽,U+53FD,jī,1
252,叼,U+53FC,diāo,1
253,叫,U+53EB,jiào,1
254,叩,U+53E9,kòu,1
255,叨,U+53E8,"dāo, dáo, tāo",1
256,另,U+53E6,lìng,1
257,叹,U+53F9,tàn,1
258,冉,U+5189,rǎn,1
259,皿,U+76BF,mǐn,1
260,凹,U+51F9,āo,1
261,囚,U+56DA,qiú,1
262,四,U+56DB,sì,1
263,生,U+751F,shēng,1
264,矢,U+77E2,shǐ,1
265,失,U+5931,shī,1
266,乍,U+4E4D,zhà,1
267,禾,U+79BE,hé,1
268,丘,U+4E18,qiū,1
269,付,U+4ED8,fù,1
270,仗,U+4ED7,zhàng,1
271,代,U+4EE3,dài,1
272,仙,U+4ED9,xiān,1
273,们,U+4EEC,"mén, men",1
274,仪,U+4EEA,yí,1
275,白,U+767D,bái,1
276,仔,U+4ED4,"zǎi, zǐ",1
277,他,U+4ED6,tā,1
278,斥,U+65A5,chì,1
279,瓜,U+74DC,guā,1
280,乎,U+4E4E,hū,1
281,丛,U+4E1B,cóng,1
282,令,U+4EE4,"líng, lǐng, lìng",1
283,用,U+7528,yòng,1
284,甩,U+7529,shuǎi,1
285,印,U+5370,yìn,1
286,尔,U+5C14,ěr,1
287,乐,U+4E50,"lè, yuè",1
288,句,U+53E5,"gōu, jù",1
289,匆,U+5306,cōng,1
290,册,U+518C,cè,1
291,卯,U+536F,mǎo,1
